小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,E:M,5,
1,2.5,,E:V,17,
1,3,,E:M,5,
2,3,,B:M,12,
2,3.5,,E:M,5,
3,0,,Ab:M,9,
3,0.5,,E:V,17,
3,1,,A:M,10,
3,1.5,,Db:m,26,
3,2,,Db:M,2,
3,2.5,,E:M,5,
3,3,,A:M,10,
3,3.5,,Db:M,2,
4,0,,B:M,12,
4,0.5,,E:M,5,
4,1.5,,B:M,12,
4,2,,A:M,10,
4,2.5,,B:M,12,
4,3,,C:M,1,
5,2,,F:M,6,
6,0.5,,D:m,27,
6,1,,G:M,8,
6,1.5,,C:M,1,
6,2,,G:M,8,
6,2.5,,C:M,1,
6,3,,G:M,8,
6,3.5,,C:M,1,
7,0,,G:V,20,
7,1.5,,G:M,8,
7,2,,G:V,20,
7,2.5,,G:M,8,
7,3,,C:m,25,
8,0,,Eb:M,4,
8,1,,C:m,25,
8,2,,F:m,30,
8,2.5,,F:M,6,
8,3.5,,Eb:M,4,
9,0,,Ab:M,9,
9,0.5,,D:d,39,
9,1,,G:M,8,
9,1.5,,C:m,25,
9,2,,G:M,8,
9,2.5,,C:m,25,
9,3,,G:M,8,
9,3.5,,C:m,25,
10,0,,Ab:d,45,
10,0.5,,F:d,42,
10,1,,Ab:M,9,
10,1.5,,E:M,5,
10,2,,Ab:d,45,
10,3,,A:m,34,
10,3.5,,A:M,10,
11,1,,A:m,34,
11,2,,G:d,44,
11,2.5,,Bb:M,11,
11,3,,Bb:d,47,
11,3.5,,Gb:M,7,
12,0,,Bb:d,47,
12,1,,E:M,5,
13,3.5,,Db:M,2,
13,3.75,,B:M,12,
14,0,,Ab:m,33,
14,0.5,,Gb:M,7,
14,0.75,,E:M,5,
14,2,,B:M,12,
14,2.25,,B:V,24,
14,2.5,,B:M,12,
14,2.75,,B:V,24,
14,3,,B:M,12,
14,3.25,,B:V,24,
14,3.5,,B:M,12,
14,3.75,,B:V,24,
15,0,,B:M,12,
15,0.25,,B:V,24,
15,0.5,,B:M,12,
15,0.75,,B:V,24,
15,1,,E:M,5,
